"time","intercept","intercept_se","sigma2","lambda","lambda_se","lambda_p_value","significance_code"
376,0.964957680963595,0.0673036694611117,0.232383618727954,0.0542166912117776,0.0748290230789118,0.508465282158432," "
378,0.605384489973029,0.125086378141533,0.479442739926443,0.121292298773406,0.00659331039198553,0.000234520420804629,"***"
380,0.579285719982126,0.0952264946900514,0.279777232129802,0.120607287274009,0.00766241731089763,0.00103114808862059,"**"
382,0.997191150568075,0.120718429812754,0.462006331462474,0.11784730524856,0.0119159313485405,0.00870795791871037,"**"
384,0.836818868599197,0.10786786471458,0.363564599671198,0.119330468684008,0.00960284270124711,0.0031132585156094,"**"
386,1.32140953923215,0.108517944654705,0.436510981931842,0.100430538708754,0.0368670005285039,0.119814552439245," "
388,0.608372312201333,0.11710369151615,0.422218782878267,0.120814752228575,0.00729841243515019,0.000403001022474481,"***"
390,1.01412671332149,0.100504204134704,0.360047967838338,0.105050490089705,0.0282851965345525,0.046217938979578,"*"
392,0.396635486128921,0.138860020550527,0.606603213928821,0.118638353745917,0.0105528933775689,0.00285082245414536,"**"
394,0.816224104168365,0.0980963666500526,0.415936291231153,0.0804428456777315,0.0509234095470909,0.218582562803747," "
396,0.173624967702191,0.13201554670141,0.548505952642807,0.118595791975212,0.0104627795811507,0.00136674949850213,"**"
398,0.665650286459505,0.104115405287512,0.3733937875044,0.108941995545944,0.0227425254802816,0.0183615270135558,"*"
400,0.198917320582965,0.138587151939228,0.587283128399859,0.12150171251733,0.00623967566744521,6.90525136258779e-05,"***"
402,0.46567562242718,0.127063698207752,0.577972674446682,0.104550460130076,0.0271718740677282,0.0304623293108919,"*"
404,-0.149666994039881,0.12382624393359,0.463159384112827,0.122705116078284,0.00449609021869486,1.20417368087988e-05,"***"
406,0.172587109202014,0.143311436874521,0.683322370411844,0.112756970143292,0.018199861231847,0.00892070567365699,"**"
408,0.36093348045046,0.134655992155305,0.559126975653349,0.120662097817071,0.00749315166462056,0.000316679216331606,"***"
410,0.591162190524119,0.111256928300472,0.383047414923544,0.120306609745012,0.00812203332992909,0.00145657481117489,"**"
412,1.19419599638342,0.117445187455136,0.451429478251287,0.114519481086677,0.0165574722736443,0.0133693727499898,"*"
414,1.05528206755213,0.101145097569669,0.316290252285915,0.12039963116691,0.00794920181446012,0.000931412401432796,"***"
416,0.926973647484149,0.132783247472621,0.550790706426011,0.119353216801175,0.0094395385131372,0.0012809656561521,"**"
418,0.53318169110623,0.117970986375537,0.423722838434591,0.121928296348836,0.00565557813534203,0.00010148649081021,"***"
420,0.313410308487522,0.156659162834648,0.753588581395752,0.12108453934153,0.00688484979846192,0.000233269467712738,"***"
422,0.202976825103483,0.150910183025557,0.69582856758331,0.12157858700164,0.00613807968272633,7.77620888336994e-05,"***"
424,0.427663031101075,0.176205670034356,0.948622772009832,0.121581185442839,0.00611887533191793,5.48738012166039e-05,"***"
426,0.643070582095609,0.173793530153875,0.938167673536732,0.119932324147715,0.008580582999187,0.00076317676469384,"***"
428,0.630652145971918,0.2048532897748,1.33103487810452,0.117799233521217,0.0117038496027355,0.00315110010541164,"**"
430,0.903904021331165,0.199639282943995,1.26820754568556,0.117467971382301,0.0119774031060759,0.00186490013378893,"**"
432,0.485682683859632,0.245780988954399,1.89161743822291,0.119110814034636,0.0096296196529612,0.000547963430026499,"***"
434,0.936023619637424,0.221471280771366,1.57821675578568,0.116311745488652,0.0134501334470046,0.00236877308357264,"**"
436,0.290880671613633,0.218995675528551,1.62120765642247,0.111026106676062,0.0213158165496425,0.0253447777684853,"*"
438,0.910044161046292,0.17306913551217,1.00304413934554,0.112054054754703,0.0190847720422048,0.010552915562314,"*"
440,0.905038258079335,0.147237022802926,0.717982087803814,0.113249420631915,0.0176365507837652,0.00844069475074682,"**"
442,0.724340084237623,0.123174586395791,0.725750481457688,0.0654710191693632,0.0578430202184527,0.332181227024474," "
444,0.340438402383718,0.148710397296629,0.780346334202743,0.106213679780194,0.0260644089260055,0.030406029111095,"*"
446,0.0821934319665083,0.152140667189583,0.77265969744605,0.11239977888127,0.0201063349248303,0.0337654159703963,"*"
448,-0.0507615665089032,0.182506102646476,1.11631790146332,0.111965818226193,0.0199039040613309,0.0196981460936048,"*"
450,0.12743793700149,0.174082373860916,0.933503328444705,0.120766428244582,0.00747052153850042,0.00170179063210085,"**"
452,-0.180534545405401,0.185001387281893,1.12619015035076,0.113944839787888,0.0174023477271253,0.0158901926307853,"*"
454,-0.133482267941316,0.166107666679896,0.866985159083318,0.118760096469798,0.0104755578961736,0.00457686745035479,"**"
456,-0.22041611960452,0.182255411670118,1.07430887498403,0.115772382596644,0.014500941023271,0.00573871009830262,"**"
458,-0.154261299912898,0.17001608694858,0.926017266862898,0.116766050042917,0.0131927454305078,0.00495558946940067,"**"
